기준,이름,휴대폰번호,이메일,집주소,주민번호,생년월일,직업,카드번호,종교,정치정당,운전면허번호,IP주소,은행계좌번호,신용카드번호,병명(질환),sns계정
2013-04-30,윤도현,063-104-6712,yangseojun@example.com,대전광역시 송파구 개포97거리 (지혜한리),810325-2035531,2003-07-12,건설 및 광업 단순 종사원,2718078536436178,천주교,기타,302 DYQ,187.126.220.105,HNQV90664551403326,639012624743,암,vgim
2016-07-27,최현주,063-256-9161,seocunja@example.com,경상남도 금산군 언주0길 (정숙송동),040717-1808908,1913-03-19,사진기자 및 사진가,30079907880064,기타,민주당,5595 FF,208.24.44.122,UWVF12259832862916,3520532040906643,고혈압,ngweon
2001-12-14,김미영,018-999-5944,do@example.com,전라북도 홍성군 강남대길 (정웅배리),770709-1361486,2022-09-16,경기감독 및 코치,30227056422952,불교,정의당,B07 1BK,83.133.211.182,IVMU40827132709605,3560443953211412,천식,yunsujin
2004-05-25,이현준,063-460-3333,seonghyeon98@example.org,인천광역시 영등포구 석촌호수1길 (순자박최리),410729-2560409,1977-11-15,제화원,30470909956707,불교,민주당,73X 3107,70.132.120.132,OPLO06882422856847,4673195493932090220,당뇨병,bagyeonghwan
2011-11-16,권준호,062-877-6061,jeongsugim@example.net,서울특별시 용산구 테헤란302길,040008-1450397,1967-12-17,대학 교수,213144560622853,천주교,정의당,4TAF 51,176.64.235.26,YYBJ38055670699197,2611542158469815,천식,wbag
2006-01-29,이지혜,053-274-6070,thong@example.com,울산광역시 영등포구 영동대가,550319-2902365,1942-01-23,건축가 및 건축공학 기술자,4196658529687247,무교,기타,8193 UC,158.237.242.213,QZWR50041283105776,4155049191065,암,miyeonggweon
2007-03-10,이영숙,031-417-6534,hi@example.org,서울특별시 강북구 백제고분6거리,920229-2572934,1944-04-03,관제사,30205845529337,기독교,국민의힘,654343,201.142.90.245,SIVE02031517314750,4298150228037145,당뇨병,gwangsubaeg
2007-03-17,오은주,055-220-9150,seoyeonseong@example.net,강원도 횡성군 테헤란356가 (예준우리),540602-2647258,1995-12-05,공예원,180099204067171,천주교,민주당,REZ-3963,174.24.25.168,XSXU14575146935928,3507933948074756,암,hyeonjeong77
2007-05-18,곽도윤,018-585-0620,junho47@example.org,경상남도 평택시 가락106로 (정훈서김읍),830421-2181334,1972-10-18,생명과학 연구원,213170801920871,기독교,민주당,28-V508,191.41.84.16,XXOR27145100609635,060481142663,암,eunjigim
2005-03-24,권지현,063-937-3780,minseoi@example.net,인천광역시 강북구 백제고분가 (진호오서동),170213-2670601,2022-08-08,작가 및 관련 전문가,4810128492731,불교,정의당,054 TVV,71.247.251.96,QKZL09900982654132,4394209395674958,없음,ojeongja
2011-06-29,송수민,042-268-6169,jeonghoo@example.net,인천광역시 서초구 가락176길,850929-2028979,1926-08-11,보건의료관련 관리자,3538832877095316,기타,정의당,6YG L59,168.179.235.80,WGRA64237423257444,2278906011406906,천식,sunog93
2015-09-14,배유진,018-858-0551,jeongsig58@example.net,강원도 연천군 학동422가,290915-2982868,1971-04-15,기타 미용관련 서비스 종사원,4253145492052932981,천주교,국민의힘,3X PB501,4.43.61.152,CRZM78937920501528,4958656475664538176,고혈압,jihye64
2018-09-15,이정식,053-967-9061,nammijeong@example.net,제주특별자치도 괴산군 영동대63거리,260322-1587303,1961-03-24,변리사,3565061418811504,기타,정의당,214 6037,169.72.146.115,ZXMP79854433092542,3528214173871512,고혈압,jihun38
2001-01-16,구예은,070-9737-4950,kjeong@example.net,충청남도 동두천시 석촌호수로,130500-2562929,1944-10-18,점토제품 생산기 조작원,4546783552296638,기타,국민의힘,KK7 3410,10.72.141.97,BMKW88055767572755,4376582292131039,고혈압,jaehyeonnam
2008-11-09,정예원,018-815-7545,minseoca@example.net,경기도 안산시 백제고분59가,880926-2434852,1987-07-14,환경공학 시험원,2466080391538753,천주교,정의당,41Y 061,54.59.209.128,WJRM80591419893063,348851780337991,암,gyeongsu13
2014-11-12,차영미,061-806-0556,ou@example.org,경기도 화천군 오금2거리 (채원심이면),460809-2253733,1924-12-19,떡제조원,3562280063357216,기독교,기타,724 FPP,156.111.144.82,HFFU69402248817464,4686258458185533594,없음,seoyeong59
2004-08-06,구민지,010-4123-3361,myeongjai@example.org,광주광역시 북구 봉은사가,790323-2947292,1965-08-04,상점 판매원,6011202222849842,무교,기타,ZNE-624,100.186.75.153,ZBQZ87122836076612,630496438486,당뇨병,jeongsubag
2006-01-04,김영환,031-447-2506,seongsucoe@example.com,세종특별자치시 금천구 가락37길,490622-2766305,1951-10-08,육아 도우미,38683191247468,불교,기타,264-UTAA,216.135.212.147,VABC67253847029680,4417892475676,당뇨병,bagjiyeon
2009-04-12,박미경,063-255-8879,jeonghungang@example.org,제주특별자치도 원주시 삼성거리,610808-1368140,1978-06-05,애완동물 미용사,2234096959752355,천주교,정의당,ERE-161,72.165.214.229,IYZH69459408111355,377748763269247,없음,iseoyun
2007-10-15,이영자,032-857-9232,seungminyun@example.org,부산광역시 남구 영동대가,500407-2562145,2009-03-11,건설자재 시험원,30150773158602,천주교,정의당,02B 8285,108.26.97.219,EHIT31436584862737,6011895704401691,당뇨병,junhobag
2023-04-21,문예준,043-586-3091,yeweongim@example.com,세종특별자치시 구로구 서초대110가,140921-2986832,1932-11-25,무용가 및 안무가,4776883221386678,불교,정의당,KWS 976,3.112.5.200,APDX04588429143174,373150639532680,천식,fhan
2001-02-17,이광수,042-810-7803,imijeong@example.org,충청북도 남양주시 논현894가,390927-2737774,1968-06-22,기타 운송장비 정비원,3513991908708237,무교,민주당,1-75724,128.130.249.27,XJYB35832667145228,4349584606430630,암,ii
2024-05-04,이진호,019-877-7047,donghyeon89@example.org,울산광역시 은평구 선릉거리,050826-2450004,2008-02-12,장학관/연구관 및 교육 관련 전문가,5462040989185752,기독교,기타,9PKQ041,46.20.152.206,EJLF56199827153461,4061197947779890,암,lgim
2001-02-01,김준혁,063-642-1260,sincaeweon@example.com,인천광역시 노원구 압구정로,760816-2888756,2012-09-15,보건의료관련 관리자,30036444229858,무교,정의당,173-KBR,60.136.222.222,PFPK54247426873189,38541278761480,당뇨병,qjang
2000-12-26,신영수,053-964-1792,jeongungbaeg@example.com,대구광역시 중구 학동가,800317-2678453,1961-05-26,기타 채굴 및 토목 관련 종사자,2525913436748582,불교,기타,006 3WR,51.212.202.195,TCHW34701963816529,3517086422817246,없음,ni
2024-05-22,박상철,054-637-2609,hgang@example.net,광주광역시 송파구 도산대거리 (병철진동),100206-2434375,2013-02-01,공업 배관공,4464470330274099,기독교,국민의힘,9RYX150,204.212.162.48,MNJN45711677510531,3597428421085339,당뇨병,ijunhyeog
2000-04-16,김예원,02-3339-6822,yeongmi12@example.com,부산광역시 서대문구 압구정거리,050303-1013010,1956-04-20,산업안전 및 위험 관리원,4363965445313,기독교,민주당,349 MEU,12.194.95.17,WQHJ36623284503430,30491165498838,암,jaehyeoni
2021-07-25,박건우,02-6484-3989,minjigim@example.org,충청북도 속초시 반포대가 (성현이동),900926-2670588,2024-05-24,장기 부사관 및 준위,581544787988,불교,민주당,1O 69266,192.165.83.103,TFDK80805707671288,6580566121558790,고혈압,zi
2001-01-22,양영길,016-408-2735,gimminjae@example.org,충청남도 태안군 삼성길,940720-1386267,1964-02-09,전자 부품 및 제품 제조 기계조작원,3524596270938382,기타,기타,48-3318B,16.123.29.236,OTUF43197288244694,4359110819974649,천식,gyeongsui
2012-02-05,이은영,043-099-5246,pgim@example.org,강원도 안양시 만안구 잠실3길,350120-1118459,1935-02-19,의복/가죽 및 모피 수선원,3558431072879783,기타,국민의힘,KKP 001,85.143.149.100,VVGP01257777317906,30476855257883,없음,misugi
2004-05-28,이예진,031-767-6888,areumryu@example.org,전라북도 부천시 도산대145거리 (영자김이마을),920929-1897024,1964-05-23,계기 검침원 및 가스점검원,180088970730906,무교,국민의힘,CXV-120,219.86.189.195,SZGC73418295320372,347612386466217,고혈압,bryu
2006-06-10,백경숙,043-812-8410,dyun@example.net,대구광역시 서대문구 개포484거리,330428-2652566,1980-02-29,중식 주방장 및 조리사,30412871895984,기독교,정의당,887 RWO,106.226.211.18,UVYI35346529017627,3548320513661491,당뇨병,sanghun88
2009-06-12,김경자,02-7163-0351,ugang@example.com,부산광역시 마포구 가락55가 (민준조읍),320106-2222279,1954-08-01,단조기 조작원,375937056867211,무교,정의당,7DHD198,130.148.86.91,AGLO85602338750444,3576860834569944,없음,ui
2005-06-13,윤서연,041-584-2999,yeongsugim@example.net,경상남도 용인시 수지구 압구정길 (경희한유동),010813-2565168,1944-07-02,검표원,3522956627458009,기타,민주당,7P121,168.15.96.141,ITIV47128815551810,4694431791037393,당뇨병,ujinhwang
2014-02-09,지정희,018-076-7793,bagsunja@example.org,전라남도 양양군 가락6로 (진호허한면),140215-2192686,1966-01-07,물품 이동 장비 설치 및 정비원,30582786111048,기독교,정의당,TE5 W3L,186.103.124.224,WFOK64289301202831,4665412484151357,암,sunogi
2011-01-01,박영진,011-138-9957,jungsubag@example.org,인천광역시 노원구 석촌호수173거리,300819-2349003,1916-09-05,화물차 및 특수차 운전원,30104000786511,기타,민주당,64-13093,205.128.216.216,SOQS92145267265795,4194017143097,없음,phong
2019-08-31,류예은,063-000-3209,junseo95@example.net,전라남도 진천군 서초대거리 (수민김동),900808-1984580,1936-01-06,지휘자/작곡가 및 연주가,6544294155266074,불교,국민의힘,FMV-0106,164.107.95.79,HFKM43005637330921,676223568392,천식,rjeong
2009-06-06,이경숙,041-012-0738,ansangho@example.org,인천광역시 북구 백제고분9가,050911-2276150,1945-08-20,소년보호관 및 교도관,4901247316669,무교,정의당,304CMR,134.229.193.250,TFPJ64287124482311,375615349506461,당뇨병,yeongsug13
2002-06-25,류지후,063-988-4016,yeongsiggim@example.org,서울특별시 광진구 오금912가,710004-2841540,1928-10-31,기타 제조관련 기계 조작원,676141734167,기독교,국민의힘,137-SFG,211.202.190.51,HBTU76969810736462,4404758941360486,고혈압,jongsu33
2011-06-22,김윤서,031-714-1954,eunjeong27@example.org,울산광역시 강남구 삼성6가,740215-2136437,1967-10-02,감정평가 전문가,3539441609074349,기독교,국민의힘,EDG 664,70.45.11.136,IKXY81075160116032,30358918726189,당뇨병,hbag
2022-08-12,김수빈,052-493-0091,sunog42@example.org,강원도 오산시 석촌호수거리 (시우조리),730900-1528283,1980-01-08,금속공작기계 조작원,4348235608486259,불교,민주당,913 QR5,27.44.158.59,IGLM25976116077152,213178988657208,당뇨병,yeongja53
2005-07-09,남성민,061-007-9841,sangho79@example.net,광주광역시 관악구 언주길,530709-1726627,1990-01-24,곡식작물 재배원,3512773931944448,불교,국민의힘,226 5CP,49.170.119.167,LCYR27002910809350,4030517631748646,없음,pgim
2021-10-05,김채원,061-285-2482,yeweonryu@example.com,충청남도 천안시 동남구 잠실로 (정웅박면),690212-2338537,2021-03-03,선박 및 열차 객실승무원,560645321483,기독교,민주당,SUC-823,59.94.125.204,OQHS30967886170749,2720399373094847,천식,bson
2017-12-21,김민재,064-714-4281,jiagim@example.net,충청북도 속초시 선릉7길 (영숙박마을),660620-1582708,1935-02-22,텔레마케터,3503478472339294,기독교,정의당,157-TTY,175.128.220.224,XMEB16935469160739,375860863681254,천식,ti
2013-08-02,김진우,033-228-6860,lo@example.com,인천광역시 도봉구 삼성거리 (동현윤읍),770718-1932249,1946-07-11,공예원,30151824344050,불교,정의당,06R 6589,45.38.229.47,QOHR61920717864987,3510733524517847,없음,jeongung71
2013-04-12,엄정수,051-230-3953,ni@example.com,경상북도 보령시 압구정198가 (정웅성면),860127-2774315,1987-05-02,운송관련 관리자,213153786452284,천주교,국민의힘,ZXQ-0105,90.115.111.40,WPDU24767893998571,4891902629854,암,cmun
2013-04-08,이은주,017-005-4219,jieun34@example.org,강원도 여주시 잠실57로,310002-2522215,1935-09-04,임산물채취 및 기타 임업 관련 종사원,3530709382545845,천주교,민주당,9A 1X1DNB,165.170.179.70,PPBG90398476210139,6011749450172867,당뇨병,jbaeg
2022-09-12,안수민,016-947-5559,jungsu39@example.com,충청북도 영월군 테헤란길 (지혜서권면),760201-1743069,1982-02-20,수의사,3554228345933163,무교,국민의힘,563W,185.241.81.181,FJHQ11330327516010,345771703800581,암,dohyeongweon
2015-11-20,윤숙자,044-660-7458,coecaeweon@example.com,부산광역시 서대문구 양재천로 (서영김김리),110214-2917843,1936-04-09,전자 부품 및 제품 제조 기계조작원,3550200098581709,기독교,기타,WE5 D1T,144.187.245.13,RIVJ66440528276394,4490584172463,고혈압,minsugang
2022-11-05,김보람,041-232-3748,gyeongjai@example.net,경상남도 홍성군 가락90길,110109-2446364,1970-03-24,토목공학 기술자,4364353531023872,기타,기타,NX0 E2S,90.95.200.198,DTUZ08883061920699,38746552244869,당뇨병,hyejin99
2009-10-03,이지후,018-946-4586,ogsunyun@example.com,부산광역시 강북구 언주로 (영식윤리),590726-1834494,1981-04-20,자재관리 사무원,3510671864543447,천주교,정의당,7W718,219.11.147.6,WIEK79243448717544,3566789869551380,고혈압,jhwang
2005-10-14,장정웅,016-883-0747,gimhyeonjun@example.org,전라북도 속초시 강남대8길,410500-2445079,2018-02-14,건축 도장공,4212136210294897086,기독교,정의당,0GD6299,74.42.246.31,ZWLX84789813266140,344500298780325,고혈압,bagjihun
2007-02-23,황현정,016-529-9207,eungyeongna@example.org,인천광역시 은평구 삼성거리 (명숙이김읍),520501-2769645,1921-05-08,내선전공,502005120246,기타,국민의힘,16U 5423,83.228.154.233,XRRF01921370811692,4241510744955675097,암,migyeongi
2007-01-16,김중수,032-907-9196,coeogja@example.com,부산광역시 서구 서초대로 (숙자강박리),180408-1468292,1979-05-20,기타 전기/전자기기 설치 및 수리원,3521086008714860,기독교,기타,589J7,159.131.134.210,LBKX82262610590862,180091343836285,당뇨병,xi
2004-06-06,김하은,061-369-7383,agim@example.com,제주특별자치도 성남시 분당구 반포대길 (예준박마을),750203-1009863,1994-05-09,기자 및 논설위원,3595912753540583,기독교,정의당,63Z 7555,73.60.73.160,IEZV19231587914558,4138526772903804,없음,junhyeogji
2021-05-08,안경희,054-407-6275,bagseongsu@example.org,부산광역시 노원구 삼성길 (수진홍면),510117-1507395,1926-02-10,만화가 및 만화영화 작가,2322005692892819,불교,국민의힘,9H836,209.107.4.210,OLVU48637307225314,4053319921354,천식,sunoggang
2014-09-06,주지은,062-775-2354,kgim@example.org,전라남도 수원시 권선구 서초대11로,620325-2320506,1959-01-14,화학공학 기술자 및 연구원,30567705894576,기타,기타,70ED8,128.132.203.199,GWUF08120358618215,180062278562055,천식,hyeonsug93
2006-10-31,김중수,052-424-9161,junyeong52@example.com,충청북도 수원시 장안구 잠실397거리 (시우이이마을),340222-1894025,1916-12-13,통신서비스판매원,676377741894,불교,민주당,FVF 871,67.60.161.223,EQKW21124069827972,379551474928541,고혈압,sanghyeoni
2007-05-03,이상호,061-627-9135,minjun61@example.org,경상남도 양양군 영동대8가 (영미허손리),830419-2037299,2015-11-10,섬유공학 기술자 및 연구원,3526957429931165,기타,민주당,52UI7,38.250.58.142,LTDR99036356957920,38320006731341,천식,siu95
2021-09-19,김숙자,044-465-1980,ki@example.org,제주특별자치도 여주시 석촌호수2가,140409-1375624,1980-09-12,기타 채굴 및 토목 관련 종사자,3510021785135651,기타,민주당,5009 GM,176.109.199.118,EUDX85088606750647,4613206773507623,당뇨병,yejin64
2002-03-30,김민서,062-896-5835,hongjihu@example.org,제주특별자치도 이천시 서초중앙로,950317-1147056,1916-01-19,조적공 및 석재 부설원,6011441693831174,불교,기타,0Q R4485,35.50.182.206,IKBC48376487519228,4895927724467,천식,gangboram
2017-08-17,박옥순,017-171-1721,gimseongjin@example.net,경상남도 고양시 일산서구 삼성로,580827-2021890,1951-07-01,화가 및 조각가,6011374137352897,불교,국민의힘,854 IXT,73.245.26.50,TIGW23084903216144,3536184383858486,없음,sonhyeonji
2022-08-05,우명자,041-234-6823,jimin26@example.com,울산광역시 영등포구 오금877거리 (춘자윤서리),910915-2788490,1922-08-24,자연과학 연구원,4625280749998063,무교,국민의힘,2Y 0T8GBY,48.42.27.33,RVIA31062166203479,348347438202216,천식,seungmino
2010-04-25,이재호,043-001-4938,icaeweon@example.com,대구광역시 동구 테헤란20길,740903-1019090,1970-12-08,수의사,3516971725447133,불교,기타,TH-3418,42.12.7.251,PFIF18086943658056,6011932454123298,천식,gimseojun
2001-05-09,이명자,061-561-4871,iyeongja@example.com,인천광역시 은평구 백제고분26로 (선영문리),390718-1419309,1928-05-26,연구 관리자,4964781210399318,천주교,민주당,ZVG 592,183.122.16.214,QMDE39548439469770,30249307958634,없음,ijunho
2012-07-12,이서연,033-753-6154,minseo09@example.net,대구광역시 구로구 양재천길,060713-2339222,2000-07-16,환경공학 시험원,2232191880316578,천주교,민주당,PEQ2333,162.39.224.117,MORA38132517011383,5563068810374962,천식,sanghyeon28
2007-06-05,조시우,043-942-4132,jeongsugim@example.org,전라북도 포천시 서초대9거리,270201-2539216,1920-06-10,의무기록사,4393003128429293989,천주교,국민의힘,932B,65.81.123.233,BMPT42483715297009,371358794206824,천식,bgweon
2002-10-03,권경숙,019-555-6957,yangjeonghyi@example.com,부산광역시 강서구 논현길,320106-1373213,1948-04-01,기타 사무원,3581969179727117,기타,민주당,6YB0064,44.139.106.110,LKFA42786883826927,4033175788568,고혈압,vgim
2018-03-27,박정순,016-120-5732,than@example.net,충청북도 군포시 도산대2로 (미영조마을),660809-1479887,1913-01-14,상품 대여원,4829738845620628227,천주교,민주당,2KO 128,170.59.86.115,FKLL54715296306987,30129500135380,고혈압,jeongnam74
2016-12-17,김하윤,033-387-2130,noseongmin@example.org,부산광역시 성동구 서초대0가 (진우김리),820324-2364478,2006-04-27,채소 및 특용작물 재배원,344134637265523,기타,정의당,119 KPW,53.249.110.5,BDWI49890215404051,4865290804048,고혈압,byeongceolseo
2012-11-21,강서준,033-199-7555,seonghunseo@example.net,전라남도 청주시 청원구 서초중앙91가 (민서이리),090620-1267251,2010-09-10,선박 갑판승무원 및 관련 종사원,213165113581767,천주교,정의당,150 HJL,148.138.37.96,IRDP40424235870265,2710548012448713,암,qmun
2016-06-16,박선영,055-689-5524,minseojo@example.com,제주특별자치도 성남시 수정구 개포3로,750710-2918801,1920-10-29,기타 연극/영화 및 영상 관련 종사자,589811717505,기독교,기타,802 IQI,176.29.120.184,IMBD94373948189739,579240408669,고혈압,jgweon
2001-11-11,김영호,041-157-8456,jeongsu48@example.net,경상남도 안양시 선릉7길 (은주홍마을),880013-1330473,2012-11-02,숙박시설 서비스원,4605220679459403892,무교,정의당,371-KIOZ,204.216.211.155,TOJY91807646888262,4097877474924518,고혈압,jihyeonyun
2012-03-10,김지연,054-975-1711,seongsujang@example.org,세종특별자치시 영등포구 백제고분로 (건우김동),850017-1970702,1976-12-02,결혼 상담원 및 웨딩플래너,3585892307169091,기독교,기타,417-WTU,105.195.98.79,GTPX37763447020123,561860873190,고혈압,ihan
2020-08-23,정성민,017-778-0588,baemyeongja@example.org,대전광역시 송파구 개포가,250726-1281808,1978-06-05,비파괴 검사원,4135771629449170,기독교,민주당,U78-27X,141.36.39.83,NOXT00385264965739,6599043338520442,없음,gimjeongho
2021-01-03,김옥자,063-622-4215,gimyunseo@example.com,제주특별자치도 천안시 서북구 학동0거리 (현주이김마을),320308-1164595,1965-11-28,산업전공,38339337503005,무교,기타,779 GEJ,188.59.16.162,YJPR46240025322974,2547392927770948,당뇨병,eunyeong03
2022-07-06,홍서영,031-713-0641,gimjihu@example.org,전라남도 성남시 중원구 삼성538길,280100-1050035,1975-07-01,화학물 가공장치 조작원,3599665605697169,무교,기타,053 OZW,170.27.238.156,YPYO17686200246335,2481128006601325,암,gwangsu34
2003-12-11,송예준,031-965-8878,uson@example.com,서울특별시 동대문구 강남대로 (상철김읍),930115-1361938,2005-09-07,도장기 조작원,3589435299351602,기타,정의당,76P 1290,169.224.45.248,LJAD60461262309208,373494553548797,천식,ujinhan
2016-07-21,고숙자,019-314-1165,fgim@example.com,울산광역시 서대문구 도산대가 (정웅김마을),360729-2634156,1936-09-13,제화원,4243214376164,기타,민주당,720-GFXE,139.62.106.33,ODWU67648267639782,4995078865990068,암,sugja93
2003-02-04,남준영,019-404-5358,hi@example.org,대전광역시 강서구 압구정8로 (은경김읍),190000-2094961,1909-05-26,석유 및 천연가스제조 관련 제어장치 조작원,4107149884780643,천주교,민주당,XP1 K8O,73.88.173.207,DSTI06231049322438,502056449775,당뇨병,ujinjang
2007-03-13,안미경,061-895-1782,gi@example.com,제주특별자치도 청주시 서원구 봉은사거리,230516-2719848,1922-10-09,보험 및 금융 상품 개발자,372795741915693,불교,국민의힘,232 SGO,12.21.28.26,AEIB63181982769735,3535362393799103,고혈압,yujeongsug
2019-04-03,최광수,053-382-9211,dbag@example.org,경상북도 아산시 강남대거리 (영희남마을),110519-1162949,1974-03-14,실내장식 디자이너,30496184824872,천주교,기타,PPC-176,117.162.35.197,AXTP04472205192855,4162892594312,고혈압,seongjin62
2004-05-25,이선영,017-856-9082,yangmyeongsug@example.org,서울특별시 은평구 서초중앙7가 (채원한박읍),830828-1254087,1967-07-06,기타 주방장 및 조리사,4290849445861088263,무교,정의당,AYX-1505,143.247.212.222,YHFS82625992892979,36791365373325,없음,gimsugja
2002-06-30,권순자,010-4468-3766,gimjeongho@example.com,울산광역시 관악구 언주로 (은서김읍),850421-2358574,1953-08-28,대학 교육조교,4515781452573046,불교,정의당,573A2,185.142.144.203,XTGQ83336303484139,30555694971588,암,baegjunyeong
2024-05-09,강정훈,010-2597-6007,miyeongi@example.net,충청북도 제천시 석촌호수거리 (재현이이읍),310813-2907077,1926-07-11,수의사,3526463670025583,천주교,민주당,L37 5NF,125.125.176.166,EUMW73878508534104,4215648792516933876,천식,miyeong31
2016-04-10,김현주,010-7284-9411,minsugim@example.com,대구광역시 서대문구 학동544거리 (미정서동),420113-2057741,1944-09-20,기타 식품가공관련 종사원,213189794910772,천주교,국민의힘,065 JAX,208.250.216.38,XMTJ78178901546711,4717488413192140,암,doyun11
2010-12-25,안경수,055-211-1404,geonuryu@example.org,대전광역시 동작구 서초대6길 (현우오김리),780904-1642528,1984-03-16,경리 사무원,30157440504845,무교,민주당,611 1065,41.59.41.62,MIOP10845082615722,3513891280827813,고혈압,seonghyeon30
2008-04-13,김춘자,017-362-4442,gimyunseo@example.org,대전광역시 노원구 논현618길,530014-1570224,1939-05-19,제빵원 및 제과원,4701605991636,기독교,국민의힘,98VZ5,10.57.227.62,XDPQ34759119189039,3550749733537724,없음,bagyeongil
2016-07-10,손지민,010-1768-2770,kbag@example.net,인천광역시 성동구 서초대로,450212-1516672,1960-01-27,기술 영업원,213195333559541,무교,기타,160 4BY,126.62.115.251,ASLM51991827506294,4118978072196010980,암,cunjacoe
2004-01-11,김민준,010-2667-1976,junseona@example.net,인천광역시 북구 강남대거리,710528-2805373,2016-05-29,자동차 정비원,4087956544210,천주교,기타,HBN P55,26.34.235.170,WUOB67965155633406,4126924650038,없음,tbaeg
2004-01-19,백지훈,02-0746-8391,baghayun@example.com,전라북도 단양군 학동2길 (예지한면),400713-1465033,1986-01-04,시스템 소프트웨어 개발자,3530699530573668,불교,민주당,167-BGX,76.166.185.192,TPZH40369443597849,4443168328299705997,고혈압,isanghun
2003-11-04,허예진,041-990-4038,seogwangsu@example.org,경기도 이천시 반포대가 (영순이동),730803-1327372,1982-12-06,기타 채굴 및 토목 관련 종사자,2249887379366088,기독교,민주당,71RB4,71.22.79.89,RXTW06875815642657,4352494277907839,없음,bagyeongsun
2002-02-20,박주원,052-529-1355,jeongsun02@example.com,대전광역시 중구 삼성105길 (지연박김마을),820703-2158264,2000-10-17,영양사,630430602528,천주교,정의당,258HJ,180.52.56.198,KIMO65956876691520,4646693462032090805,천식,junyeongcoe
2014-08-22,김영진,053-105-9757,yejuncoe@example.org,경기도 안양시 만안구 테헤란2거리 (도윤이김동),980204-1527913,1945-01-25,조경 기술자,4161139250688051,기타,기타,07BO7,17.38.58.244,DXVW65268554307054,4846605383661374,암,gimseonghun
2024-06-22,권정수,052-797-3823,gyeongja08@example.net,대구광역시 양천구 봉은사로 (정수김이면),940708-1431362,1971-03-05,한복 제조원,6011794891412977,무교,정의당,NHQ-506,166.34.141.84,OHGO84022166816725,2686551651922170,천식,gimeunji
2013-03-30,문준서,053-343-9390,yeongsu63@example.net,울산광역시 서구 학동가 (영숙박성읍),500326-1237465,1991-05-19,보육 교사,3516675874638695,천주교,기타,1056 AO,205.227.6.156,OEZA92153623370407,4652191163508898,없음,hyeonjeong06
2014-03-07,박민준,062-887-9565,casumin@example.com,서울특별시 광진구 잠실70길,590724-2288645,2005-08-22,섬유제조 기계조작원,675927094309,무교,기타,P02-99Q,49.39.41.20,OHMD52842598852142,341694242700316,암,ki
2015-10-10,김영미,032-395-0831,iujin@example.org,전라북도 오산시 서초중앙806거리 (은서김동),440410-1071156,1927-07-08,건설 및 광업 관련 관리자,348483352994098,천주교,국민의힘,8KZ 439,156.50.101.96,DRBF27269304741398,630472160252,고혈압,sunja31
2022-11-29,이은서,019-976-4247,gimyunseo@example.net,제주특별자치도 고성군 강남대길 (성수김김면),680528-1779202,2007-05-28,자동차 조립원,3521946479155473,무교,기타,801-DFJ,47.103.35.129,SHQA92713067851608,676163223503,고혈압,eunji14
2021-05-15,이춘자,019-138-8105,gimareum@example.net,세종특별자치시 관악구 석촌호수4거리,870611-2472522,1972-01-02,원예작물 재배원,2235617652036975,천주교,정의당,76V B63,140.244.80.54,VORR13020008607294,3572548486759251,고혈압,myeongsug89
2004-02-23,강우진,02-3013-9698,jieun28@example.net,충청북도 동두천시 선릉686길,930214-2595245,1944-10-12,제빵원 및 제과원,3571266264207390,기타,기타,730-JUH,96.232.96.75,RROJ61425011376069,3577932248936115,없음,seonghyeoni
2006-02-09,김지훈,043-785-7828,yeeungim@example.com,경상남도 옥천군 선릉98길,680113-1927005,2006-11-04,기타 사회복지관련 종사원,213106508200902,기타,민주당,WAE A17,204.247.119.13,KTSZ90460833885247,3552769396698330,고혈압,gimyejin
2020-04-10,조재현,033-541-0975,yejunbae@example.org,경상북도 정선군 개포064거리 (명숙김리),360822-1863950,1950-02-06,대학 교수,4973772790798452906,기타,기타,629-OYF,177.88.103.115,NORA63421737279525,373845447677243,천식,yeonghyi53
2023-09-04,김은서,063-188-1254,jyang@example.org,경상북도 안성시 서초중앙길 (지현강한동),370415-1281835,1925-01-06,기타 판매관련 단순 종사원,4635832985328,무교,국민의힘,IPA 612,223.201.213.9,PJDE71130830473342,4719939683026,천식,yujinbag
2022-02-17,김채원,016-063-2742,sanghyeon20@example.org,전라남도 광주시 오금길,550610-1100702,1926-04-19,구두 미화원,4881063512986059621,천주교,기타,1F U0611,106.30.172.3,GCME38159737435720,379584591036948,고혈압,minseoggim
2016-02-12,박영자,043-028-1661,anjeongsug@example.com,경상남도 파주시 잠실로 (영희김동),210023-1666978,1993-02-11,버스 운전원,3511076641011206,기타,국민의힘,MXT 376,203.62.252.158,XAUR49249876730568,6011409871958119,암,hyang
2021-08-23,장병철,033-305-5088,sinjiu@example.org,전라남도 과천시 언주거리 (건우김홍읍),620823-2979551,1993-12-14,양식원,4602707904409250261,천주교,국민의힘,192-003,218.94.177.99,FMXV59116177066848,3508451163272467,당뇨병,minjii
2013-07-20,권상철,070-2705-5476,ci@example.com,충청남도 고양시 일산서구 양재천가,000710-2958445,1941-12-03,메이크업 아티스트 및 분장사,3593445530082886,기독교,민주당,4AV A79,92.207.151.37,HYHG39861448202516,502090974689,천식,gyeongsug72
2017-04-25,장민수,043-770-2984,sujin95@example.org,강원도 원주시 강남대1거리,160125-2309341,2015-08-05,신용 추심원,587108302023,무교,기타,68A Z00,128.183.150.132,JFKV34577489332906,180045626551730,암,gimmijeong
